seed,max_num_trajectories,max_trajectory_length,secret_length,found,traj_index_found,steps_to_failure,simulated_time_to_failure,min_gap_at_failure,boxes_at_failure,boxes_max_seen,command_counts_off,command_counts_slow,command_counts_mid,command_counts_fast
0,20,20,4,False,,,,,,2,0,0,0,0
1,20,20,4,True,18,5,0.05,inf,1,1,0,1,1,3
2,20,20,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,20,20,4,True,12,7,0.07,inf,1,1,1,2,1,3
4,20,20,4,True,10,11,0.11,inf,1,1,2,3,4,2
5,20,20,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,20,20,8,False,,,,,,2,0,0,0,0
1,20,20,8,False,,,,,,2,0,0,0,0
2,20,20,8,False,,,,,,2,0,0,0,0
3,20,20,8,False,,,,,,2,0,0,0,0
4,20,20,8,False,,,,,,2,0,0,0,0
5,20,20,8,False,,,,,,2,0,0,0,0
0,20,20,12,False,,,,,,2,0,0,0,0
1,20,20,12,False,,,,,,2,0,0,0,0
2,20,20,12,False,,,,,,2,0,0,0,0
3,20,20,12,False,,,,,,2,0,0,0,0
4,20,20,12,False,,,,,,2,0,0,0,0
5,20,20,12,False,,,,,,2,0,0,0,0
0,20,50,4,True,3,49,0.49,0.09999999403953552,4,4,18,10,10,11
1,20,50,4,True,6,15,0.15,inf,1,1,4,3,5,3
2,20,50,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,20,50,4,True,6,6,0.06,inf,1,1,0,1,3,2
4,20,50,4,True,3,4,0.04,inf,1,1,0,1,1,2
5,20,50,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,20,50,8,False,,,,,,4,0,0,0,0
1,20,50,8,False,,,,,,4,0,0,0,0
2,20,50,8,False,,,,,,4,0,0,0,0
3,20,50,8,False,,,,,,4,0,0,0,0
4,20,50,8,False,,,,,,3,0,0,0,0
5,20,50,8,False,,,,,,4,0,0,0,0
0,20,50,12,False,,,,,,4,0,0,0,0
1,20,50,12,False,,,,,,4,0,0,0,0
2,20,50,12,False,,,,,,4,0,0,0,0
3,20,50,12,False,,,,,,4,0,0,0,0
4,20,50,12,False,,,,,,3,0,0,0,0
5,20,50,12,False,,,,,,4,0,0,0,0
0,20,100,4,True,3,12,0.12,inf,1,1,1,5,3,3
1,20,100,4,True,1,58,0.58,0.09999999403953552,3,3,20,13,10,15
2,20,100,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,20,100,4,True,1,60,0.6,0.11999998986721039,4,4,11,20,12,17
4,20,100,4,True,2,96,0.96,0.09999999403953552,6,6,24,22,23,27
5,20,100,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,20,100,8,False,,,,,,7,0,0,0,0
1,20,100,8,False,,,,,,6,0,0,0,0
2,20,100,8,False,,,,,,7,0,0,0,0
3,20,100,8,False,,,,,,7,0,0,0,0
4,20,100,8,False,,,,,,7,0,0,0,0
5,20,100,8,False,,,,,,7,0,0,0,0
0,20,100,12,False,,,,,,7,0,0,0,0
1,20,100,12,False,,,,,,6,0,0,0,0
2,20,100,12,False,,,,,,7,0,0,0,0
3,20,100,12,False,,,,,,7,0,0,0,0
4,20,100,12,False,,,,,,7,0,0,0,0
5,20,100,12,False,,,,,,7,0,0,0,0
0,50,20,4,True,34,11,0.11,inf,1,1,0,3,5,3
1,50,20,4,True,18,5,0.05,inf,1,1,0,1,1,3
2,50,20,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,50,20,4,True,12,7,0.07,inf,1,1,1,2,1,3
4,50,20,4,True,10,11,0.11,inf,1,1,2,3,4,2
5,50,20,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,50,20,8,False,,,,,,2,0,0,0,0
1,50,20,8,False,,,,,,2,0,0,0,0
2,50,20,8,False,,,,,,2,0,0,0,0
3,50,20,8,False,,,,,,2,0,0,0,0
4,50,20,8,False,,,,,,2,0,0,0,0
5,50,20,8,False,,,,,,2,0,0,0,0
0,50,20,12,False,,,,,,2,0,0,0,0
1,50,20,12,False,,,,,,2,0,0,0,0
2,50,20,12,False,,,,,,2,0,0,0,0
3,50,20,12,False,,,,,,2,0,0,0,0
4,50,20,12,False,,,,,,2,0,0,0,0
5,50,20,12,False,,,,,,2,0,0,0,0
0,50,50,4,True,3,49,0.49,0.09999999403953552,4,4,18,10,10,11
1,50,50,4,True,6,15,0.15,inf,1,1,4,3,5,3
2,50,50,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,50,50,4,True,6,6,0.06,inf,1,1,0,1,3,2
4,50,50,4,True,3,4,0.04,inf,1,1,0,1,1,2
5,50,50,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,50,50,8,False,,,,,,4,0,0,0,0
1,50,50,8,False,,,,,,4,0,0,0,0
2,50,50,8,False,,,,,,4,0,0,0,0
3,50,50,8,False,,,,,,4,0,0,0,0
4,50,50,8,False,,,,,,4,0,0,0,0
5,50,50,8,False,,,,,,4,0,0,0,0
0,50,50,12,False,,,,,,4,0,0,0,0
1,50,50,12,False,,,,,,4,0,0,0,0
2,50,50,12,False,,,,,,4,0,0,0,0
3,50,50,12,False,,,,,,4,0,0,0,0
4,50,50,12,False,,,,,,4,0,0,0,0
5,50,50,12,False,,,,,,4,0,0,0,0
0,50,100,4,True,3,12,0.12,inf,1,1,1,5,3,3
1,50,100,4,True,1,58,0.58,0.09999999403953552,3,3,20,13,10,15
2,50,100,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,50,100,4,True,1,60,0.6,0.11999998986721039,4,4,11,20,12,17
4,50,100,4,True,2,96,0.96,0.09999999403953552,6,6,24,22,23,27
5,50,100,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,50,100,8,False,,,,,,7,0,0,0,0
1,50,100,8,False,,,,,,7,0,0,0,0
2,50,100,8,False,,,,,,7,0,0,0,0
3,50,100,8,False,,,,,,7,0,0,0,0
4,50,100,8,False,,,,,,7,0,0,0,0
5,50,100,8,True,32,24,0.24,0.11999998986721039,2,2,3,6,9,6
0,50,100,12,False,,,,,,7,0,0,0,0
1,50,100,12,False,,,,,,7,0,0,0,0
2,50,100,12,False,,,,,,7,0,0,0,0
3,50,100,12,False,,,,,,7,0,0,0,0
4,50,100,12,False,,,,,,7,0,0,0,0
5,50,100,12,False,,,,,,7,0,0,0,0
0,100,20,4,True,34,11,0.11,inf,1,1,0,3,5,3
1,100,20,4,True,18,5,0.05,inf,1,1,0,1,1,3
2,100,20,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,100,20,4,True,12,7,0.07,inf,1,1,1,2,1,3
4,100,20,4,True,10,11,0.11,inf,1,1,2,3,4,2
5,100,20,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,100,20,8,False,,,,,,2,0,0,0,0
1,100,20,8,False,,,,,,2,0,0,0,0
2,100,20,8,False,,,,,,2,0,0,0,0
3,100,20,8,False,,,,,,2,0,0,0,0
4,100,20,8,True,78,10,0.1,inf,1,1,0,4,2,4
5,100,20,8,False,,,,,,2,0,0,0,0
0,100,20,12,False,,,,,,2,0,0,0,0
1,100,20,12,False,,,,,,2,0,0,0,0
2,100,20,12,False,,,,,,2,0,0,0,0
3,100,20,12,False,,,,,,2,0,0,0,0
4,100,20,12,False,,,,,,2,0,0,0,0
5,100,20,12,False,,,,,,2,0,0,0,0
0,100,50,4,True,3,49,0.49,0.09999999403953552,4,4,18,10,10,11
1,100,50,4,True,6,15,0.15,inf,1,1,4,3,5,3
2,100,50,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,100,50,4,True,6,6,0.06,inf,1,1,0,1,3,2
4,100,50,4,True,3,4,0.04,inf,1,1,0,1,1,2
5,100,50,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,100,50,8,False,,,,,,4,0,0,0,0
1,100,50,8,False,,,,,,4,0,0,0,0
2,100,50,8,False,,,,,,4,0,0,0,0
3,100,50,8,False,,,,,,4,0,0,0,0
4,100,50,8,False,,,,,,4,0,0,0,0
5,100,50,8,False,,,,,,4,0,0,0,0
0,100,50,12,False,,,,,,4,0,0,0,0
1,100,50,12,False,,,,,,4,0,0,0,0
2,100,50,12,False,,,,,,4,0,0,0,0
3,100,50,12,False,,,,,,4,0,0,0,0
4,100,50,12,False,,,,,,4,0,0,0,0
5,100,50,12,False,,,,,,4,0,0,0,0
0,100,100,4,True,3,12,0.12,inf,1,1,1,5,3,3
1,100,100,4,True,1,58,0.58,0.09999999403953552,3,3,20,13,10,15
2,100,100,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,100,100,4,True,1,60,0.6,0.11999998986721039,4,4,11,20,12,17
4,100,100,4,True,2,96,0.96,0.09999999403953552,6,6,24,22,23,27
5,100,100,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,100,100,8,False,,,,,,7,0,0,0,0
1,100,100,8,False,,,,,,7,0,0,0,0
2,100,100,8,False,,,,,,7,0,0,0,0
3,100,100,8,False,,,,,,7,0,0,0,0
4,100,100,8,False,,,,,,7,0,0,0,0
5,100,100,8,True,32,24,0.24,0.11999998986721039,2,2,3,6,9,6
0,100,100,12,False,,,,,,7,0,0,0,0
1,100,100,12,False,,,,,,7,0,0,0,0
2,100,100,12,False,,,,,,7,0,0,0,0
3,100,100,12,False,,,,,,7,0,0,0,0
4,100,100,12,False,,,,,,7,0,0,0,0
5,100,100,12,False,,,,,,7,0,0,0,0
0,150,20,4,True,34,11,0.11,inf,1,1,0,3,5,3
1,150,20,4,True,18,5,0.05,inf,1,1,0,1,1,3
2,150,20,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,150,20,4,True,12,7,0.07,inf,1,1,1,2,1,3
4,150,20,4,True,10,11,0.11,inf,1,1,2,3,4,2
5,150,20,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,150,20,8,False,,,,,,2,0,0,0,0
1,150,20,8,False,,,,,,2,0,0,0,0
2,150,20,8,False,,,,,,2,0,0,0,0
3,150,20,8,False,,,,,,2,0,0,0,0
4,150,20,8,True,78,10,0.1,inf,1,1,0,4,2,4
5,150,20,8,False,,,,,,2,0,0,0,0
0,150,20,12,False,,,,,,2,0,0,0,0
1,150,20,12,False,,,,,,2,0,0,0,0
2,150,20,12,False,,,,,,2,0,0,0,0
3,150,20,12,False,,,,,,2,0,0,0,0
4,150,20,12,False,,,,,,2,0,0,0,0
5,150,20,12,False,,,,,,2,0,0,0,0
0,150,50,4,True,3,49,0.49,0.09999999403953552,4,4,18,10,10,11
1,150,50,4,True,6,15,0.15,inf,1,1,4,3,5,3
2,150,50,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,150,50,4,True,6,6,0.06,inf,1,1,0,1,3,2
4,150,50,4,True,3,4,0.04,inf,1,1,0,1,1,2
5,150,50,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,150,50,8,False,,,,,,4,0,0,0,0
1,150,50,8,False,,,,,,4,0,0,0,0
2,150,50,8,False,,,,,,4,0,0,0,0
3,150,50,8,False,,,,,,4,0,0,0,0
4,150,50,8,False,,,,,,4,0,0,0,0
5,150,50,8,False,,,,,,4,0,0,0,0
0,150,50,12,False,,,,,,4,0,0,0,0
1,150,50,12,False,,,,,,4,0,0,0,0
2,150,50,12,False,,,,,,4,0,0,0,0
3,150,50,12,False,,,,,,4,0,0,0,0
4,150,50,12,False,,,,,,4,0,0,0,0
5,150,50,12,False,,,,,,4,0,0,0,0
0,150,100,4,True,3,12,0.12,inf,1,1,1,5,3,3
1,150,100,4,True,1,58,0.58,0.09999999403953552,3,3,20,13,10,15
2,150,100,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,150,100,4,True,1,60,0.6,0.11999998986721039,4,4,11,20,12,17
4,150,100,4,True,2,96,0.96,0.09999999403953552,6,6,24,22,23,27
5,150,100,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,150,100,8,False,,,,,,7,0,0,0,0
1,150,100,8,False,,,,,,7,0,0,0,0
2,150,100,8,True,128,66,0.66,0.09999999403953552,4,4,18,13,18,17
3,150,100,8,False,,,,,,7,0,0,0,0
4,150,100,8,False,,,,,,7,0,0,0,0
5,150,100,8,True,32,24,0.24,0.11999998986721039,2,2,3,6,9,6
0,150,100,12,False,,,,,,7,0,0,0,0
1,150,100,12,False,,,,,,7,0,0,0,0
2,150,100,12,False,,,,,,7,0,0,0,0
3,150,100,12,False,,,,,,7,0,0,0,0
4,150,100,12,False,,,,,,7,0,0,0,0
5,150,100,12,False,,,,,,7,0,0,0,0
0,300,20,4,True,34,11,0.11,inf,1,1,0,3,5,3
1,300,20,4,True,18,5,0.05,inf,1,1,0,1,1,3
2,300,20,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,300,20,4,True,12,7,0.07,inf,1,1,1,2,1,3
4,300,20,4,True,10,11,0.11,inf,1,1,2,3,4,2
5,300,20,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,300,20,8,False,,,,,,2,0,0,0,0
1,300,20,8,False,,,,,,2,0,0,0,0
2,300,20,8,False,,,,,,2,0,0,0,0
3,300,20,8,False,,,,,,2,0,0,0,0
4,300,20,8,True,78,10,0.1,inf,1,1,0,4,2,4
5,300,20,8,False,,,,,,2,0,0,0,0
0,300,20,12,False,,,,,,2,0,0,0,0
1,300,20,12,False,,,,,,2,0,0,0,0
2,300,20,12,False,,,,,,2,0,0,0,0
3,300,20,12,False,,,,,,2,0,0,0,0
4,300,20,12,False,,,,,,2,0,0,0,0
5,300,20,12,False,,,,,,2,0,0,0,0
0,300,50,4,True,3,49,0.49,0.09999999403953552,4,4,18,10,10,11
1,300,50,4,True,6,15,0.15,inf,1,1,4,3,5,3
2,300,50,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,300,50,4,True,6,6,0.06,inf,1,1,0,1,3,2
4,300,50,4,True,3,4,0.04,inf,1,1,0,1,1,2
5,300,50,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,300,50,8,False,,,,,,4,0,0,0,0
1,300,50,8,False,,,,,,4,0,0,0,0
2,300,50,8,False,,,,,,4,0,0,0,0
3,300,50,8,False,,,,,,4,0,0,0,0
4,300,50,8,False,,,,,,4,0,0,0,0
5,300,50,8,False,,,,,,4,0,0,0,0
0,300,50,12,False,,,,,,4,0,0,0,0
1,300,50,12,False,,,,,,4,0,0,0,0
2,300,50,12,False,,,,,,4,0,0,0,0
3,300,50,12,False,,,,,,4,0,0,0,0
4,300,50,12,False,,,,,,4,0,0,0,0
5,300,50,12,False,,,,,,4,0,0,0,0
0,300,100,4,True,3,12,0.12,inf,1,1,1,5,3,3
1,300,100,4,True,1,58,0.58,0.09999999403953552,3,3,20,13,10,15
2,300,100,4,True,1,19,0.19,0.09999999403953552,2,2,4,5,3,7
3,300,100,4,True,1,60,0.6,0.11999998986721039,4,4,11,20,12,17
4,300,100,4,True,2,96,0.96,0.09999999403953552,6,6,24,22,23,27
5,300,100,4,True,1,15,0.15,inf,1,1,3,6,2,4
0,300,100,8,False,,,,,,7,0,0,0,0
1,300,100,8,False,,,,,,7,0,0,0,0
2,300,100,8,True,128,66,0.66,0.09999999403953552,4,4,18,13,18,17
3,300,100,8,False,,,,,,7,0,0,0,0
4,300,100,8,False,,,,,,7,0,0,0,0
5,300,100,8,True,32,24,0.24,0.11999998986721039,2,2,3,6,9,6
0,300,100,12,False,,,,,,7,0,0,0,0
1,300,100,12,False,,,,,,7,0,0,0,0
2,300,100,12,False,,,,,,7,0,0,0,0
3,300,100,12,False,,,,,,7,0,0,0,0
4,300,100,12,False,,,,,,7,0,0,0,0
5,300,100,12,False,,,,,,7,0,0,0,0
